associated_gene,Sample,cyclo_count,noncyclo_count,Cyclo_TPM,Noncyclo_TPM,total_cyclo,total_noncyclo,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,CycloFraction,NoncycloFraction,NormalizedCycloFraction,NormalizedNoncycloFraction,NormalizedFractionDifference,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
DND1_HARS1,Patient1,5,0,2628.8117770767612,0.0,1902,1717,26.0,20.0,0.0026288117770767614,0.0,1.0,0.0,1.0,31.893640109916657,-0.3063942735394503,,,,,,
DND1_HARS1,Patient10,17,0,7798.165137614679,0.0,2180,1394,8.0,20.0,0.007798165137614679,0.0,1.0,0.0,1.0,54.92189653556411,1.1358960623549827,1.0,1.0,1.0,1.0,1.0,
DND1_HARS1,Patient11,5,0,2246.1814914645106,0.0,2226,1367,28.0,20.0,0.0022461814914645105,0.0,1.0,0.0,1.0,31.256811582508863,-0.3426479874026982,,,,,,
DND1_HARS1,Patient12,10,0,4990.0199600798405,0.0,2004,1791,15.0,20.0,0.00499001996007984,0.0,1.0,0.0,1.0,44.04169078181956,0.5165019096226675,,,,,,
DND1_HARS1,Patient13,25,0,10020.040080160321,0.0,2495,2218,6.0,20.0,0.01002004008016032,0.0,1.0,0.0,1.0,63.19599554825834,1.6069283813740622,1.0,1.0,1.0,1.0,1.0,
DND1_HARS1,Patient14,0,0,0.0,0.0,1161,1708,31.0,20.0,0.0,0.0,,,,0.0,-2.1220524182976406,,,,,,
DND1_HARS1,Patient15,6,1,4360.46511627907,388.65137971239795,1376,2573,21.0,8.0,0.00436046511627907,0.000388651379712398,0.9181634352325443,0.0818365647674557,0.8363268704650886,10.45367106277434,-1.5269402598128612,,,,,,
DND1_HARS1,Patient16,5,0,3584.2293906810037,0.0,1395,1271,23.0,20.0,0.0035842293906810036,0.0,1.0,0.0,1.0,33.148825011469,-0.2349384384003181,,,,,,
DND1_HARS1,Patient17,6,0,6153.846153846154,0.0,975,1227,12.0,20.0,0.006153846153846154,0.0,1.0,0.0,1.0,37.76252124091945,0.15903799895077186,,,,,,
DND1_HARS1,Patient18,2,0,2024.2914979757086,0.0,988,1387,29.0,20.0,0.0020242914979757085,0.0,1.0,0.0,1.0,21.96782770622577,-0.8714562129102311,,,,,,
DND1_HARS1,Patient19,5,1,4068.3482506102523,645.9948320413437,1229,1548,22.0,5.0,0.0040683482506102524,0.0006459948320413437,0.8629724606979597,0.13702753930204037,0.7259449213959194,7.44783303764024,-1.6980582091391183,,,,,,
DND1_HARS1,Patient2,32,6,25058.731401722787,5529.9539170506905,1277,1085,1.0,1.0,0.025058731401722788,0.005529953917050691,0.8192157047803313,0.18078429521966874,0.6384314095606626,11.089502563546189,-1.4907433052133992,,,,,,
DND1_HARS1,Patient20,1,1,529.6610169491526,575.3739930955121,1888,1738,30.0,7.0,0.0005296610169491525,0.0005753739930955121,0.4793160507446222,0.5206839492553779,-0.041367898510755674,-0.18895078136189333,-2.132809109097305,,,,,,
DND1_HARS1,Patient21,7,0,4940.014114326041,0.0,1417,1328,16.0,20.0,0.004940014114326041,0.0,1.0,0.0,1.0,38.896854656626225,0.22361393628503087,,,,,,
DND1_HARS1,Patient22,6,0,4914.004914004914,0.0,1221,2106,17.0,20.0,0.004914004914004914,0.0,1.0,0.0,1.0,36.78893143089053,0.07590043944954583,,,,,,
DND1_HARS1,Patient23,9,1,13533.834586466164,862.8127696289905,665,1159,2.0,4.0,0.013533834586466165,0.0008628127696289905,0.940068493150685,0.05993150684931507,0.8801369863013699,13.733302845923193,-1.3402356334873589,,,,,,
DND1_HARS1,Patient24,7,0,6610.0094428706325,0.0,1059,1661,11.0,20.0,0.0066100094428706326,0.0,1.0,0.0,1.0,40.22842412548803,0.2994182327879739,,,,,,
DND1_HARS1,Patient25,4,0,2915.451895043732,0.0,1372,1946,25.0,20.0,0.0029154518950437317,0.0,1.0,0.0,1.0,29.752914667944175,-0.4282626325920091,,,,,,
DND1_HARS1,Patient26,8,0,4733.7278106508875,0.0,1690,1469,18.0,20.0,0.004733727810650888,0.0,1.0,0.0,1.0,40.55763861128117,0.31815993051964286,,,,,,
